TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2014,Finland,Nitrogen,Tonne,147373,
2014,Finland,Phosphorus,Tonne,11845,
2014,Sweden,Nitrogen,Tonne,181100,
2014,Sweden,Phosphorus,Tonne,12100,
2014,United Kingdom,Nitrogen,Tonne,1059748,
2014,United Kingdom,Phosphorus,Tonne,88228,
2014,Norway,Nitrogen,Tonne,101307,
2014,Norway,Phosphorus,Tonne,8405,
2014,Switzerland,Nitrogen,Tonne,51600,
2014,Switzerland,Phosphorus,Tonne,4192,
2014,Turkey,Nitrogen,Tonne,1492839,
2014,Turkey,Phosphorus,Tonne,248965,
2015,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,11392321,e
2015,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1286081,e
2015,European Union - 28 countries,Nitrogen,Tonne,11392321,e
2015,European Union - 28 countries,Phosphorus,Tonne,1286081,e
2015,Belgium,Nitrogen,Tonne,154092,
2015,Belgium,Phosphorus,Tonne,4815,e
2015,Bulgaria,Nitrogen,Tonne,341608,
2015,Bulgaria,Phosphorus,Tonne,27573,
2015,Czechia,Nitrogen,Tonne,397136,
2015,Czechia,Phosphorus,Tonne,21221,
2015,Denmark,Nitrogen,Tonne,205300,
2015,Denmark,Phosphorus,Tonne,13800,
2015,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1822791,
2015,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,131503,
2015,Estonia,Nitrogen,Tonne,36276,
2015,Estonia,Phosphorus,Tonne,3522,
2015,Ireland,Nitrogen,Tonne,330959,
2015,Ireland,Phosphorus,Tonne,36551,
2015,Greece,Nitrogen,Tonne,164334,
2015,Greece,Phosphorus,Tonne,21962,
2015,Spain,Nitrogen,Tonne,1068103,
2015,Spain,Phosphorus,Tonne,179784,
2015,France,Nitrogen,Tonne,2208168,
2015,France,Phosphorus,Tonne,187054,
2015,Croatia,Nitrogen,Tonne,87428,
2015,Croatia,Phosphorus,Tonne,12899,
2015,Italy,Nitrogen,Tonne,579728,
2015,Italy,Phosphorus,Tonne,226757,
2015,Cyprus,Nitrogen,Tonne,7533,e
2015,Cyprus,Phosphorus,Tonne,2122,
2015,Latvia,Nitrogen,Tonne,75820,
2015,Latvia,Phosphorus,Tonne,10633,
2015,Lithuania,Nitrogen,Tonne,166611,e
2015,Lithuania,Phosphorus,Tonne,19799,e
2015,Luxembourg,Nitrogen,Tonne,13007,
2015,Luxembourg,Phosphorus,Tonne,516,
2015,Hungary,Nitrogen,Tonne,358421,
2015,Hungary,Phosphorus,Tonne,35530,
2015,Malta,Nitrogen,Tonne,618,
2015,Malta,Phosphorus,Tonne,38,
2015,Netherlands,Nitrogen,Tonne,244893,
2015,Netherlands,Phosphorus,Tonne,3736,
2015,Austria,Nitrogen,Tonne,125323,
2015,Austria,Phosphorus,Tonne,13058,
2015,Poland,Nitrogen,Tonne,1003597,
2015,Poland,Phosphorus,Tonne,132544,
2015,Portugal,Nitrogen,Tonne,117906,
2015,Portugal,Phosphorus,Tonne,20159,
2015,Romania,Nitrogen,Tonne,357352,
2015,Romania,Phosphorus,Tonne,57921,
